"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"NPS Läti";"NPS Leedu";"NPS Soome";"NPS Eesti"
"1546293600";"01.01.2019 00:00";"25,7";"25,7";"25,7";"25,7"
"1546297200";"01.01.2019 01:00";"28,32";"28,32";"28,32";"28,32"
"1546300800";"01.01.2019 02:00";"10,07";"10,07";"10,07";"10,07"
"1546304400";"01.01.2019 03:00";"10,03";"10,03";"10,03";"10,03"
"1546308000";"01.01.2019 04:00";"4,56";"4,56";"4,56";"4,56"
"1546311600";"01.01.2019 05:00";"4,83";"4,83";"4,83";"4,83"
"1546315200";"01.01.2019 06:00";"8,09";"8,09";"8,09";"8,09"
"1546318800";"01.01.2019 07:00";"25,54";"25,54";"25,54";"25,54"
"1546322400";"01.01.2019 08:00";"39,16";"39,16";"39,16";"39,16"
"1546326000";"01.01.2019 09:00";"37,66";"37,66";"37,66";"37,66"
"1546329600";"01.01.2019 10:00";"21,52";"21,52";"21,52";"21,52"
"1546333200";"01.01.2019 11:00";"28,25";"28,25";"28,25";"28,25"
"1546336800";"01.01.2019 12:00";"19,29";"19,29";"19,29";"19,29"
"1546340400";"01.01.2019 13:00";"19,32";"19,32";"19,32";"19,32"
"1546344000";"01.01.2019 14:00";"16,21";"16,21";"16,21";"16,21"
"1546347600";"01.01.2019 15:00";"21,47";"21,47";"21,47";"21,47"
"1546351200";"01.01.2019 16:00";"32,69";"32,69";"32,69";"32,69"
"1546354800";"01.01.2019 17:00";"29,34";"29,34";"29,34";"29,34"
"1546358400";"01.01.2019 18:00";"30,19";"30,19";"30,19";"30,19"
"1546362000";"01.01.2019 19:00";"30,09";"30,09";"30,09";"30,09"
"1546365600";"01.01.2019 20:00";"29,58";"29,58";"29,58";"29,58"
"1546369200";"01.01.2019 21:00";"36,91";"36,91";"36,91";"36,91"
"1546372800";"01.01.2019 22:00";"33,14";"33,14";"33,14";"33,14"
"1546376400";"01.01.2019 23:00";"21,61";"21,61";"21,61";"21,61"
"1546380000";"02.01.2019 00:00";"4,04";"4,04";"4,04";"4,04"
"1546383600";"02.01.2019 01:00";"9,7";"9,7";"9,7";"9,7"
"1546387200";"02.01.2019 02:00";"6,32";"2,15";"6,32";"6,32"
"1546390800";"02.01.2019 03:00";"4,35";"1,17";"4,35";"4,35"
