"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"NPS Läti";"NPS Leedu";"NPS Soome";"NPS Eesti"
"1672524000";"01.01.2023 00:00";"4,84";"4,84";"4,84";"4,84"
"1672527600";"01.01.2023 01:00";"2,01";"2,01";"2,01";"2,01"
"1672531200";"01.01.2023 02:00";"1,38";"1,38";"1,38";"1,38"
"1672534800";"01.01.2023 03:00";"0,09";"0,09";"0,09";"0,09"
"1672538400";"01.01.2023 04:00";"0,08";"0,08";"0,08";"0,08"
"1672542000";"01.01.2023 05:00";"0,05";"0,05";"0,05";"0,05"
"1672545600";"01.01.2023 06:00";"0,08";"0,08";"0,08";"0,08"
"1672549200";"01.01.2023 07:00";"0,09";"0,09";"0,09";"0,09"
"1672552800";"01.01.2023 08:00";"0,53";"0,53";"0,53";"0,53"
"1672556400";"01.01.2023 09:00";"2,03";"2,03";"2,03";"2,03"
"1672560000";"01.01.2023 10:00";"3,1";"3,1";"3,1";"3,1"
"1672563600";"01.01.2023 11:00";"4,43";"4,43";"4,43";"4,43"
"1672567200";"01.01.2023 12:00";"6,06";"6,06";"6,06";"6,06"
"1672570800";"01.01.2023 13:00";"6,06";"6,06";"6,06";"6,06"
"1672574400";"01.01.2023 14:00";"5,68";"5,68";"5,68";"5,68"
"1672578000";"01.01.2023 15:00";"17,71";"17,71";"17,71";"17,71"
"1672581600";"01.01.2023 16:00";"24,11";"24,11";"24,11";"24,11"
"1672585200";"01.01.2023 17:00";"36,54";"36,54";"36,54";"36,54"
"1672588800";"01.01.2023 18:00";"46,03";"46,03";"46,03";"46,03"
"1672592400";"01.01.2023 19:00";"54,23";"54,23";"54,23";"54,23"
"1672596000";"01.01.2023 20:00";"53,63";"53,63";"53,63";"53,63"
"1672599600";"01.01.2023 21:00";"48,05";"48,05";"48,05";"48,05"
"1672603200";"01.01.2023 22:00";"44,68";"44,68";"44,68";"44,68"
"1672606800";"01.01.2023 23:00";"45,96";"45,96";"45,96";"45,96"
"1672610400";"02.01.2023 00:00";"35";"35";"35";"35"
"1672614000";"02.01.2023 01:00";"57,91";"57,91";"57,91";"57,91"
"1672617600";"02.01.2023 02:00";"51,67";"51,67";"51,67";"51,67"
"1672621200";"02.01.2023 03:00";"52,86";"52,86";"52,86";"52,86"
"1672624800";"02.01.2023 04:00";"44,16";"44,16";"44,16";"44,16"
"1672628400";"02.01.2023 05:00";"50,08";"50,08";"50,08";"50,08"
"1672632000";"02.01.2023 06:00";"70,73";"70,73";"70,73";"70,73"
"1672635600";"02.01.2023 07:00";"105,08";"105,08";"102,56";"105,08"
"1672639200";"02.01.2023 08:00";"138,19";"138,19";"138,19";"138,19"
"1672642800";"02.01.2023 09:00";"145,98";"145,98";"145,98";"145,98"
