"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"NPS Läti";"NPS Leedu";"NPS Soome";"NPS Eesti"
"1577829600";"01.01.2020 00:00";"30,83";"30,83";"30,83";"30,83"
"1577833200";"01.01.2020 01:00";"28,78";"28,78";"28,78";"28,78"
"1577836800";"01.01.2020 02:00";"28,45";"28,45";"28,45";"28,45"
"1577840400";"01.01.2020 03:00";"27,9";"27,9";"27,9";"27,9"
"1577844000";"01.01.2020 04:00";"27,52";"27,52";"27,52";"27,52"
"1577847600";"01.01.2020 05:00";"27,54";"27,54";"27,54";"27,54"
"1577851200";"01.01.2020 06:00";"26,55";"26,55";"26,55";"26,55"
"1577854800";"01.01.2020 07:00";"25,83";"25,83";"25,83";"25,83"
"1577858400";"01.01.2020 08:00";"25,07";"25,07";"25,07";"25,07"
"1577862000";"01.01.2020 09:00";"25,65";"25,65";"25,65";"25,65"
"1577865600";"01.01.2020 10:00";"26,15";"26,15";"26,15";"26,15"
"1577869200";"01.01.2020 11:00";"26,77";"26,77";"26,77";"26,77"
"1577872800";"01.01.2020 12:00";"27,4";"27,4";"27,4";"27,4"
"1577876400";"01.01.2020 13:00";"28,08";"28,08";"28,08";"28,08"
"1577880000";"01.01.2020 14:00";"28,69";"28,69";"28,69";"28,69"
"1577883600";"01.01.2020 15:00";"29,37";"29,37";"29,37";"29,37"
"1577887200";"01.01.2020 16:00";"29,97";"29,97";"29,97";"29,97"
"1577890800";"01.01.2020 17:00";"30,46";"30,46";"30,46";"30,46"
"1577894400";"01.01.2020 18:00";"30,39";"30,39";"30,39";"30,39"
"1577898000";"01.01.2020 19:00";"30,06";"30,06";"30,06";"30,06"
"1577901600";"01.01.2020 20:00";"29,38";"29,38";"29,38";"29,38"
"1577905200";"01.01.2020 21:00";"27,65";"27,65";"27,65";"27,65"
"1577908800";"01.01.2020 22:00";"27,33";"27,33";"27,33";"27,33"
"1577912400";"01.01.2020 23:00";"25,88";"25,88";"25,88";"25,88"
"1577916000";"02.01.2020 00:00";"24,81";"24,81";"24,81";"24,81"
"1577919600";"02.01.2020 01:00";"12,07";"12,07";"12,07";"12,07"
"1577923200";"02.01.2020 02:00";"13,13";"13,13";"13,13";"13,13"
"1577926800";"02.01.2020 03:00";"19,07";"19,07";"19,07";"19,07"
"1577930400";"02.01.2020 04:00";"21,12";"21,12";"21,12";"21,12"
"1577934000";"02.01.2020 05:00";"24,29";"24,29";"24,29";"24,29"
"1577937600";"02.01.2020 06:00";"26,27";"26,27";"26,27";"26,27"
"1577941200";"02.01.2020 07:00";"27,74";"27,74";"27,74";"27,74"
"1577944800";"02.01.2020 08:00";"28,39";"28,39";"28,39";"28,39"
"1577948400";"02.01.2020 09:00";"29,37";"29,37";"29,37";"29,37"
"1577952000";"02.01.2020 10:00";"29,95";"29,95";"29,95";"29,95"
"1577955600";"02.01.2020 11:00";"29,91";"29,91";"29,91";"29,91"
"1577959200";"02.01.2020 12:00";"29,96";"29,96";"29,96";"29,96"
"1577962800";"02.01.2020 13:00";"29,94";"29,94";"29,94";"29,94"
"1577966400";"02.01.2020 14:00";"29,94";"29,94";"29,94";"29,94"
"1577970000";"02.01.2020 15:00";"30,18";"30,18";"30,18";"30,18"
"1577973600";"02.01.2020 16:00";"30,96";"30,96";"30,96";"30,96"
"1577977200";"02.01.2020 17:00";"31,2";"31,2";"31,2";"31,2"
"1577980800";"02.01.2020 18:00";"30,98";"30,98";"30,98";"30,98"
"1577984400";"02.01.2020 19:00";"30,35";"30,35";"30,35";"30,35"
"1577988000";"02.01.2020 20:00";"29,27";"29,27";"29,27";"29,27"
"1577991600";"02.01.2020 21:00";"28,17";"28,17";"28,17";"28,17"
"1577995200";"02.01.2020 22:00";"28,02";"28,02";"28,02";"28,02"
"1577998800";"02.01.2020 23:00";"27,69";"27,69";"27,69";"27,69"
"1578002400";"03.01.2020 00:00";"24,39";"24,39";"24,39";"24,39"
"1578006000";"03.01.2020 01:00";"18,93";"18,93";"18,93";"18,93"
"1578009600";"03.01.2020 02:00";"9,98";"9,98";"9,98";"9,98"
"1578013200";"03.01.2020 03:00";"1,53";"1,53";"1,53";"1,53"
"1578016800";"03.01.2020 04:00";"0,14";"0,14";"0,14";"0,14"
"1578020400";"03.01.2020 05:00";"0,85";"0,85";"0,85";"0,85"
"1578024000";"03.01.2020 06:00";"9,92";"9,92";"9,92";"9,92"
"1578027600";"03.01.2020 07:00";"30,01";"30,01";"24,48";"30,01"
"1578031200";"03.01.2020 08:00";"38,89";"38,89";"26,68";"38,89"
"1578034800";"03.01.2020 09:00";"28,12";"28,12";"28,12";"28,12"
"1578038400";"03.01.2020 10:00";"28,58";"28,58";"28,58";"28,58"
"1578042000";"03.01.2020 11:00";"30,04";"30,04";"28,16";"30,04"
"1578045600";"03.01.2020 12:00";"30,02";"30,02";"28,78";"30,02"
"1578049200";"03.01.2020 13:00";"30,03";"30,03";"28,31";"30,03"
"1578052800";"03.01.2020 14:00";"30,02";"30,02";"28,44";"30,02"
"1578056400";"03.01.2020 15:00";"28,96";"28,96";"28,96";"28,96"
"1578060000";"03.01.2020 16:00";"29,86";"29,86";"29,86";"29,86"
"1578063600";"03.01.2020 17:00";"30,15";"30,15";"30,15";"30,15"
"1578067200";"03.01.2020 18:00";"30,07";"30,07";"30,07";"30,07"
"1578070800";"03.01.2020 19:00";"29,54";"29,54";"29,54";"29,54"
"1578074400";"03.01.2020 20:00";"29,11";"29,11";"29,11";"29,11"
"1578078000";"03.01.2020 21:00";"36,76";"36,76";"27,91";"36,76"
"1578081600";"03.01.2020 22:00";"27,03";"27,03";"27,03";"27,03"
"1578085200";"03.01.2020 23:00";"25,7";"25,7";"25,7";"25,7"
"1578088800";"04.01.2020 00:00";"22,04";"22,04";"22,04";"22,04"
"1578092400";"04.01.2020 01:00";"21,73";"21,73";"21,73";"21,73"
"1578096000";"04.01.2020 02:00";"15,95";"15,95";"15,95";"15,95"
"1578099600";"04.01.2020 03:00";"16,23";"16,23";"16,23";"16,23"
"1578103200";"04.01.2020 04:00";"20";"20";"6,45";"20"
"1578106800";"04.01.2020 05:00";"4,04";"4,04";"3,83";"4,04"
"1578110400";"04.01.2020 06:00";"4,03";"4,03";"4,03";"4,03"
"1578114000";"04.01.2020 07:00";"4,04";"4,04";"4,04";"4,04"
"1578117600";"04.01.2020 08:00";"19,07";"19,07";"19,07";"19,07"
"1578121200";"04.01.2020 09:00";"17,49";"17,49";"17,49";"17,49"
"1578124800";"04.01.2020 10:00";"24,18";"24,18";"24,18";"24,18"
